## NONE

| scancode | row | col | physical label | token byte | decoded name |
|---|---:|---:|:---|---|:---|
| 0x01 | 0x0 | 0x1 | DOWN alt | 0x01 | 0x01 |
| 0x02 | 0x0 | 0x2 | LEFT | 0x07 | 0x07 |
| 0x03 | 0x0 | 0x3 | RIGHT | 0x00 | NONE |
| 0x04 | 0x0 | 0x4 | UP | 0x00 | NONE |
| 0x05 | 0x0 | 0x5 | key0x05 | 0x00 | NONE |
| 0x06 | 0x0 | 0x6 | key0x06 | 0x00 | NONE |
| 0x07 | 0x0 | 0x7 | key0x07 | 0x06 | 0x06 |
| 0x08 | 0x0 | 0x8 | key0x08 | 0xCB | tok:0xCB |
| 0x09 | 0x0 | 0x9 | ENTER | 0xF8 | tok:0xF8 |
| 0x0A | 0x0 | 0xA | (+) | 0xF3 | tok:0xF3 |
| 0x0B | 0x0 | 0xB | (-) | 0xEE | tok:0xEE |
| 0x0C | 0x0 | 0xC | (*) | 0xE9 | tok:0xE9 |
| 0x0D | 0x0 | 0xD | (/) | 0x09 | ENTER |
| 0x0E | 0x0 | 0xE | (^) | 0x00 | NONE |
| 0x0F | 0x0 | 0xF | CLEAR | 0xCA | tok:0xCA |
| 0x10 | 0x1 | 0x0 | (-) | 0xCC | tok:0xCC |
| 0x11 | 0x1 | 0x1 | VARS | 0xF7 | tok:0xF7 |
| 0x12 | 0x1 | 0x2 | CLEAR | 0xF2 | tok:0xF2 |
| 0x13 | 0x1 | 0x3 | PRGM | 0xED | tok:0xED |
| 0x14 | 0x1 | 0x4 | STAT | 0xE8 | tok:0xE8 |
| 0x15 | 0x1 | 0x5 | X,T,theta,n | 0x35 | 5 |
| 0x16 | 0x1 | 0x6 | MATH | 0x00 | NONE |
| 0x17 | 0x1 | 0x7 | APPS | 0xC6 | tok:0xC6 |
| 0x18 | 0x1 | 0x8 | MODE | 0xFB | tok:0xFB |
| 0x19 | 0x1 | 0x9 | DEL | 0xF6 | tok:0xF6 |
| 0x1A | 0x1 | 0xA | 2ND | 0xF1 | tok:0xF1 |
| 0x1B | 0x1 | 0xB | ALPHA | 0xEC | tok:0xEC |
| 0x1C | 0x1 | 0xC | ON | 0xE7 | tok:0xE7 |
